05:33:14.914;ff 08 c4 0f c2 0f b3 0f b8 0f 0a;0x708
05:33:14.919;ff 09 cb 0f b4 0f c8 0f 00 80 0a;0x709
05:33:14.924;ff 0b b2 0f b6 0f bb 0f b8 0f 0a;0x70b
05:33:14.927;ff 0c ba 0f ae 0f c6 0f 00 80 0a;0x70c
05:33:14.941;ff f4 00 00 00 00 00 00 80 3f 0a;0x7f4
05:33:14.948;ff f5 00 00 00 00 00 00 00 00 0a;0x7f5
05:33:14.950;ff f6 b4 fc 2a fe 42 fb 2d 00 0a;0x7f6
05:33:14.953;ff f7 5c 04 00 00 5c 02 01 00 0a;0x7f7
05:33:14.961;ff f8 ae 0f d6 0f 04 05 01 06 0a;0x7f8
05:33:14.966;ff f9 df 00 e6 00 03 00 01 00 0a;0x7f9
05:33:14.969;ff fa 80 b9 01 00 fe ff ff ff 0a;0x7fa
05:33:14.975;ff fb 8a 0c 80 0c 80 04 a3 03 0a;0x7fb
05:33:14.981;ff fc 00 00 00 00 1d 00 70 00 0a;0x7fc
05:33:14.982;ff fd 80 80 00 00 00 00 00 00 0a;0x7fd
05:33:15.887;fe 00 48 f7 b5 3d 13 43 91 3c 0a;0x600
05:33:15.891;fe 01 2a 91 e1 42 f5 5d 6a 37 0a;0x601
05:33:15.894;fe 02 14 65 b9 41 1a e8 e8 41 0a;0x602
05:33:15.898;fe 30 32 02 84 82 1e 02 00 00 0a;0x630
05:33:15.901;fe 60 32 02 b4 11 00 00 00 00 0a;0x660
05:33:15.903;fe 61 00 00 00 00 00 00 00 01 0a;0x661
05:33:15.917;ff 00 00 10 00 00 eb 0b 00 00 0a;0x700
05:33:15.920;ff 01 3c 0c 00 00 66 02 e7 00 0a;0x701
05:33:15.924;ff 02 c1 0f b7 0f b1 0f ba 0f 0a;0x702
05:33:15.927;ff 03 b7 0f b8 0f d6 0f 00 80 0a;0x703
05:33:15.933;ff 04 48 0c 00 00 4b 02 e6 00 0a;0x704
05:33:15.934;ff 05 b7 0f ba 0f bb 0f bf 0f 0a;0x705
05:33:15.937;ff 06 b8 0f c1 0f b6 0f 00 80 0a;0x706
05:33:15.957;ff 07 39 0c 00 00 60 02 df 00 0a;0x707
05:33:15.960;ff 08 c4 0f c2 0f b3 0f b8 0f 0a;0x708
05:33:15.964;ff 09 cb 0f b4 0f c9 0f 00 80 0a;0x709
05:33:15.968;ff 0b b2 0f b6 0f bb 0f b8 0f 0a;0x70b
05:33:15.971;ff 0c ba 0f ae 0f c6 0f 00 80 0a;0x70c
05:33:15.989;ff f4 00 00 00 00 00 00 80 3f 0a;0x7f4
05:33:15.992;ff f5 00 00 00 00 00 00 00 00 0a;0x7f5
05:33:15.994;ff f6 b4 fc 2b fe 42 fb 2d 00 0a;0x7f6
05:33:15.996;ff f7 5c 04 00 00 5d 02 01 00 0a;0x7f7
05:33:16.002;ff f8 ae 0f d6 0f 04 05 01 06 0a;0x7f8
05:33:16.005;ff f9 df 00 e7 00 03 00 01 00 0a;0x7f9
05:33:16.007;ff fa a0 b9 01 00 ff ff ff ff 0a;0x7fa
05:33:16.025;ff fb 8a 0c 80 0c 80 04 a3 03 0a;0x7fb
05:33:16.028;ff fc 00 00 00 00 1d 00 72 00 0a;0x7fc
05:33:16.030;ff fd 80 80 00 00 00 00 00 00 0a;0x7fd
05:33:16.925;fe 00 48 f7 b5 3d 13 43 91 3c 0a;0x600
05:33:16.930;fe 01 2a 91 e1 42 f5 5d 6a 37 0a;0x601
05:33:16.933;fe 02 14 65 b9 41 1a e8 e8 41 0a;0x602
05:33:16.935;fe 30 33 02 84 82 1e 02 00 00 0a;0x630
05:33:16.938;fe 60 33 02 b4 11 00 00 00 00 0a;0x660
05:33:16.940;fe 61 00 00 00 00 00 00 00 01 0a;0x661
05:33:16.959;ff 00 00 10 00 00 eb 0b 00 00 0a;0x700
05:33:16.965;ff 01 3c 0c 00 00 65 02 e6 00 0a;0x701
05:33:16.974;ff 02 c1 0f b7 0f b1 0f ba 0f 0a;0x702
05:33:16.977;ff 03 b7 0f b8 0f d6 0f 00 80 0a;0x703
05:33:16.980;ff 04 48 0c 00 00 4d 02 e6 00 0a;0x704
05:33:16.982;ff 05 b7 0f ba 0f bb 0f bf 0f 0a;0x705
