pos;nr;name;team;brand;model;drivernum;drivername;pit_reason;time_pit_in;pitcount;time_pit_out;lapnumber;time_of_day (lap end);racetime;laptime;sector_1_time;sector_2_time;sector_3_time;Sector 3;Sector 4
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;145;29:19.131;11:29:18.555;3:35.109;1:06.675;1:20.467;1:07.967;60.67;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;146;33:26.640;11:33:26.064;4:07.509;1:21.202;1:31.965;1:14.342;69.53;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;147;37:39.468;11:37:38.892;4:12.828;1:20.918;1:34.882;1:17.028;61.83;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;148;41:50.370;11:41:49.794;4:10.902;1:18.259;1:37.373;1:15.270;63.04;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;149;46:07.240;11:46:06.664;4:16.870;1:20.724;1:39.534;1:16.612;52.85;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;150;50:38.508;11:50:37.932;4:31.268;1:22.165;1:45.026;1:24.077;52.01;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;151;55:16.289;11:55:15.713;4:37.781;1:25.548;1:45.197;1:27.036;49.77;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;152;01:00:04.482;12:00:03.906;4:48.193;1:32.091;1:47.170;1:28.932;52.01;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;153;01:05:22.870;12:05:22.294;5:18.388;1:35.023;2:09.883;1:33.482;55.77;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;154;01:10:07.403;12:10:06.827;4:44.533;1:28.574;1:48.040;1:27.919;;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;Charge;01:14:49;6;;155;01:15:09.790;12:15:09.214;5:02.387;1:30.683;1:47.245;;66.39;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;01:50:30;156;01:54:54.775;12:54:54.199;39:44.985;;1:38.558;1:16.019;66.53;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;157;01:59:20.761;12:59:20.185;4:25.986;1:24.576;1:39.044;1:22.366;69.38;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;158;02:03:34.205;13:03:33.629;4:13.444;1:19.065;1:36.219;1:18.160;65.72;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;159;02:07:40.365;13:07:39.789;4:06.160;1:15.726;1:31.568;1:18.866;56.06;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;160;02:12:04.130;13:12:03.554;4:23.765;1:22.127;1:40.361;1:21.277;60.45;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;161;02:16:30.300;13:16:29.724;4:26.170;1:24.240;1:41.916;1:20.014;61.02;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;162;02:20:58.733;13:20:58.157;4:28.433;1:22.219;1:43.042;1:23.172;62.19;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;163;02:25:04.227;13:25:03.651;4:05.494;1:20.095;1:33.087;1:12.312;57.96;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;164;02:29:13.601;13:29:13.025;4:09.374;1:20.369;1:34.198;1:14.807;56.15;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;165;02:33:45.078;13:33:44.502;4:31.477;1:22.156;1:43.782;1:25.539;70.28;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;166;02:38:20.086;13:38:19.510;4:35.008;1:22.380;1:44.900;1:27.728;66.12;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;167;02:42:29.237;13:42:28.661;4:09.151;1:15.258;1:35.803;1:18.090;61.95;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;168;02:46:38.549;13:46:37.973;4:09.312;1:19.023;1:35.032;1:15.257;63.65;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;169;02:50:57.692;13:50:57.116;4:19.143;1:22.376;1:41.891;1:14.876;64.29;
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;;;;;170;02:55:14.858;13:55:14.282;4:17.166;1:22.178;1:38.801;1:16.187;62.55;
