,pos,nr,name,team,brand,model,drivernum,drivername,pit_reason,time_pit_in,pitcount,time_pit_out,lapnumber,time_of_day (lap end),racetime,laptime,sector_1_time,sector_2_time,sector_3_time,Sector 3,Sector 4,ms_laptime,ms_racetime,energy_used,driver_color
82,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,83,19:45:32.106,06:45:31.530,4:12.809,1:17.109,1:41.940,1:13.760,55.01,,252809.0,24331530.0,-56.4868312425,orange
83,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,84,19:49:45.920,06:49:45.344,4:13.814,1:20.704,1:34.439,1:18.671,57.65,,253814.0,24585344.0,-52.14220332666667,orange
84,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,85,19:54:12.113,06:54:11.537,4:26.193,1:24.454,1:41.595,1:20.144,57.04,,266193.0,24851537.0,-46.64284723416667,orange
85,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,86,19:58:32.421,06:58:31.845,4:20.308,1:24.013,1:40.814,1:15.481,57.96,,260308.0,25111845.0,-54.80269209833334,orange
86,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,87,20:02:54.295,07:02:53.719,4:21.874,1:24.092,1:39.236,1:18.546,61.02,,261874.0,25373719.0,-51.05730573416667,orange
87,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,88,20:07:15.610,07:07:15.034,4:21.315,1:24.197,1:39.181,1:17.937,66.39,,261315.0,25635034.0,-52.53276335583334,orange
88,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,89,20:11:48.961,07:11:48.385,4:33.351,1:22.274,1:39.739,1:31.338,54.82,,273351.0,25908385.0,-50.87134119166667,orange
89,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,90,20:16:24.277,07:16:23.701,4:35.316,1:21.027,1:37.998,1:36.291,58.8,,275316.0,26183701.0,-45.197083267500005,orange
90,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,91,20:20:44.521,07:20:43.945,4:20.244,1:24.444,1:35.943,1:19.857,64.67,,260244.0,26443945.0,-50.545407727500006,orange
91,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,92,20:24:57.408,07:24:56.832,4:12.887,1:22.744,1:36.098,1:14.045,62.79,,252887.0,26696832.0,-55.73861385333334,orange
92,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,93,20:29:16.911,07:29:16.335,4:19.503,1:21.210,1:37.120,1:21.173,56.64,,259503.0,26956335.0,-48.993580380000004,orange
93,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,94,20:33:40.632,07:33:40.056,4:23.721,1:22.583,1:41.885,1:19.253,57.24,,263721.0,27220056.0,-50.04277392,orange
94,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,95,20:38:09.624,07:38:09.048,4:28.992,1:25.791,1:42.423,1:20.778,57.96,,268992.0,27489048.0,-53.244562690833334,orange
95,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,96,20:42:39.745,07:42:39.169,4:30.121,1:24.937,1:45.168,1:20.016,57.86,,270121.0,27759169.0,-49.65303029666667,orange
96,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,97,20:47:07.108,07:47:06.532,4:27.363,1:25.938,1:39.372,1:22.053,57.35,,267363.0,28026532.0,-54.33089386666667,orange
97,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,98,20:51:38.294,07:51:37.718,4:31.186,1:25.131,1:42.345,1:23.710,57.24,,271186.0,28297718.0,-50.17616820833334,orange
98,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,99,20:56:11.431,07:56:10.855,4:33.137,1:27.793,1:42.838,1:22.506,59.02,,273137.0,28570855.0,-50.308852227500005,orange
99,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,100,21:00:50.064,08:00:49.488,4:38.633,1:25.185,1:48.354,1:25.094,60.22,,278633.0,28849488.0,-49.81904095833334,orange
100,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,101,21:05:18.717,08:05:18.141,4:28.653,1:23.278,1:44.373,1:21.002,59.67,,268653.0,29118141.0,-50.99355649416667,orange
101,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,102,21:09:49.763,08:09:49.187,4:31.046,1:23.711,1:44.926,1:22.409,59.34,,271046.0,29389187.0,-48.63347655166667,orange
102,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,103,21:14:17.503,08:14:16.927,4:27.740,1:24.150,1:42.506,1:21.084,55.38,,267740.0,29656927.0,-50.70957500833334,orange
103,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,104,21:18:59.307,08:18:58.731,4:41.804,1:25.443,1:48.110,1:28.251,53.03,,281804.0,29938731.0,-47.8800671925,orange
104,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,105,21:23:32.987,08:23:32.411,4:33.680,1:25.793,1:43.131,1:24.756,,,273680.0,30212411.0,-45.15951397333333,orange
105,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,Driver Change,21:28:12,4.0,,106,21:28:34.156,08:28:33.580,5:01.169,1:29.425,1:44.296,,56.06,,301169.0,30513580.0,-36.69636742583334,orange
106,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,21:34:37,107,21:39:04.655,08:39:04.079,10:30.499,,1:38.774,1:24.712,65.32,,630499.0,31144079.0,-61.51385516083334,blue
107,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,108,21:43:46.204,08:43:45.628,4:41.549,1:25.136,1:48.401,1:28.012,53.47,,281549.0,31425628.0,-51.03356538083334,blue
108,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,109,21:48:13.089,08:48:12.513,4:26.885,1:21.865,1:41.498,1:23.522,53.55,,266885.0,31692513.0,-50.885358726666674,blue
109,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,110,21:52:43.702,08:52:43.126,4:30.613,1:25.583,1:41.649,1:23.381,53.55,,270613.0,31963126.0,-54.44004290000001,blue
110,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,111,21:57:12.101,08:57:11.525,4:28.399,1:24.952,1:38.990,1:24.457,55.38,,268399.0,32231525.0,-53.13063898916667,blue
111,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,112,22:01:43.332,09:01:42.756,4:31.231,1:27.277,1:39.778,1:24.176,54.18,,271231.0,32502756.0,-46.676125238333334,blue
112,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,113,22:06:23.058,09:06:22.482,4:39.726,1:30.238,1:44.814,1:24.674,58.91,,279726.0,32782482.0,-45.05469179333333,blue
113,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,114,22:10:53.651,09:10:53.075,4:30.593,1:26.948,1:41.316,1:22.329,56.74,,270593.0,33053075.0,-46.04306132416667,blue
114,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,115,22:15:23.876,09:15:23.300,4:30.225,1:25.599,1:41.250,1:23.376,54.36,,270225.0,33323300.0,-51.656009991666664,blue
115,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,116,22:19:49.843,09:19:49.267,4:25.967,1:23.101,1:39.767,1:23.099,58.59,,265967.0,33589267.0,-46.107235945000006,blue
116,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,117,22:24:24.781,09:24:24.205,4:34.938,1:23.231,1:46.151,1:25.556,57.35,,274938.0,33864205.0,-50.36038767583334,blue
117,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,118,22:29:02.776,09:29:02.200,4:37.995,1:28.126,1:46.304,1:23.565,63.16,,277995.0,34142200.0,-48.206209812500006,blue
118,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,119,22:33:26.730,09:33:26.154,4:23.954,1:23.612,1:41.179,1:19.163,66.26,,263954.0,34406154.0,-56.21646613083334,blue
119,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,120,22:37:57.788,09:37:57.212,4:31.058,1:24.551,1:43.858,1:22.649,64.29,,271058.0,34677212.0,-50.60581972166667,blue
120,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,121,22:42:25.762,09:42:25.186,4:27.974,1:22.911,1:45.184,1:19.879,63.53,,267974.0,34945186.0,-47.6255135325,blue
121,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,122,22:46:41.905,09:46:41.329,4:16.143,1:21.285,1:37.471,1:17.387,57.55,,256143.0,35201329.0,-55.73629823916667,blue
122,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,123,22:50:58.875,09:50:58.299,4:16.970,1:16.869,1:38.878,1:21.223,63.65,,256970.0,35458299.0,-55.15496349083334,blue
123,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,124,22:55:22.089,09:55:21.513,4:23.214,1:24.982,1:39.422,1:18.810,56.25,,263214.0,35721513.0,-52.486248385,blue
124,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,125,22:59:35.286,09:59:34.710,4:13.197,1:21.766,1:37.348,1:14.083,65.06,,253197.0,35974710.0,-60.33571144500001,blue
125,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,126,23:03:54.504,10:03:53.928,4:19.218,1:23.460,1:37.688,1:18.070,73.8,,259218.0,36233928.0,-60.009203481666674,blue
126,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,127,23:08:18.809,10:08:18.233,4:24.305,1:19.139,1:52.660,1:12.506,54.18,,264305.0,36498233.0,-62.21558453416667,blue
127,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,128,23:12:28.141,10:12:27.565,4:09.332,1:15.300,1:34.912,1:19.120,57.86,,249332.0,36747565.0,-58.31191337916667,blue
128,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,129,23:16:46.184,10:16:45.608,4:18.043,1:21.529,1:37.421,1:19.093,71.21,,258043.0,37005608.0,-60.600776602500005,blue
